IdPeriod,MatchDate,MatchTime,Time,Match,Player1name,Player1team,LocationX,LocationY,AttackingDirection
2,2015/08/17,20:00:00.000000,2122.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,870,1560,1
2,2015/08/17,20:00:00.000000,2122.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,860,1540,1
2,2015/08/17,20:00:00.000000,2122.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,860,1520,1
2,2015/08/17,20:00:00.000000,2122.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,850,1500,1
2,2015/08/17,20:00:00.000000,2122.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,840,1480,1
2,2015/08/17,20:00:00.000000,2122.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,830,1460,1
2,2015/08/17,20:00:00.000000,2122.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,820,1440,1
2,2015/08/17,20:00:00.000000,2122.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,820,1420,1
2,2015/08/17,20:00:00.000000,2123,Liverpool v Bournemouth,Smith Adam,Bournemouth,810,1400,1
2,2015/08/17,20:00:00.000000,2123.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,810,1380,1
2,2015/08/17,20:00:00.000000,2123.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,810,1360,1
2,2015/08/17,20:00:00.000000,2123.3,Liverpool v Bournemouth,Smith Adam,Bournemouth,800,1340,1
2,2015/08/17,20:00:00.000000,2123.4,Liverpool v Bournemouth,Smith Adam,Bournemouth,800,1330,1
2,2015/08/17,20:00:00.000000,2123.5,Liverpool v Bournemouth,Smith Adam,Bournemouth,800,1310,1
2,2015/08/17,20:00:00.000000,2123.6,Liverpool v Bournemouth,Smith Adam,Bournemouth,800,1290,1
2,2015/08/17,20:00:00.000000,2123.7,Liverpool v Bournemouth,Smith Adam,Bournemouth,790,1280,1
2,2015/08/17,20:00:00.000000,2123.8,Liverpool v Bournemouth,Smith Adam,Bournemouth,790,1260,1
2,2015/08/17,20:00:00.000000,2123.9,Liverpool v Bournemouth,Smith Adam,Bournemouth,790,1240,1
2,2015/08/17,20:00:00.000000,2124,Liverpool v Bournemouth,Smith Adam,Bournemouth,780,1230,1
2,2015/08/17,20:00:00.000000,2124.1,Liverpool v Bournemouth,Smith Adam,Bournemouth,780,1210,1
2,2015/08/17,20:00:00.000000,2124.2,Liverpool v Bournemouth,Smith Adam,Bournemouth,780,1200,1
