IdPeriod,MatchDate,MatchTime,Time,Match,Player1name,Player1team,LocationX,LocationY,AttackingDirection
2,2015/08/17,20:00:00.000000,912.5,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,-70,870,1
2,2015/08/17,20:00:00.000000,912.6,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,-50,850,1
2,2015/08/17,20:00:00.000000,912.7,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,-20,820,1
2,2015/08/17,20:00:00.000000,912.8,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,0,800,1
2,2015/08/17,20:00:00.000000,912.9,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,30,780,1
2,2015/08/17,20:00:00.000000,913,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,60,750,1
2,2015/08/17,20:00:00.000000,913.1,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,100,730,1
2,2015/08/17,20:00:00.000000,913.2,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,150,700,1
2,2015/08/17,20:00:00.000000,913.3,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,190,680,1
2,2015/08/17,20:00:00.000000,913.4,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,240,650,1
2,2015/08/17,20:00:00.000000,913.5,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,280,630,1
2,2015/08/17,20:00:00.000000,913.6,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,320,600,1
2,2015/08/17,20:00:00.000000,913.7,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,370,580,1
2,2015/08/17,20:00:00.000000,913.8,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,410,560,1
2,2015/08/17,20:00:00.000000,913.9,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,450,540,1
2,2015/08/17,20:00:00.000000,914,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,490,520,1
2,2015/08/17,20:00:00.000000,914.1,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,530,500,1
2,2015/08/17,20:00:00.000000,914.2,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,570,480,1
2,2015/08/17,20:00:00.000000,914.3,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,600,460,1
2,2015/08/17,20:00:00.000000,914.4,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,640,440,1
2,2015/08/17,20:00:00.000000,914.5,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,680,420,1
2,2015/08/17,20:00:00.000000,914.6,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,720,400,1
2,2015/08/17,20:00:00.000000,914.7,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,760,380,1
2,2015/08/17,20:00:00.000000,914.8,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,790,360,1
2,2015/08/17,20:00:00.000000,914.9,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,830,340,1
2,2015/08/17,20:00:00.000000,915,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,870,320,1
2,2015/08/17,20:00:00.000000,915.1,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,910,300,1
2,2015/08/17,20:00:00.000000,915.2,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,950,290,1
2,2015/08/17,20:00:00.000000,915.3,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,990,270,1
2,2015/08/17,20:00:00.000000,915.4,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1020,260,1
2,2015/08/17,20:00:00.000000,915.5,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1060,240,1
2,2015/08/17,20:00:00.000000,915.6,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1100,230,1
2,2015/08/17,20:00:00.000000,915.7,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1140,220,1
2,2015/08/17,20:00:00.000000,915.8,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1180,200,1
2,2015/08/17,20:00:00.000000,915.9,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1220,190,1
2,2015/08/17,20:00:00.000000,916,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1250,180,1
2,2015/08/17,20:00:00.000000,916.1,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1290,170,1
2,2015/08/17,20:00:00.000000,916.2,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1320,160,1
2,2015/08/17,20:00:00.000000,916.3,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1350,150,1
2,2015/08/17,20:00:00.000000,916.4,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1380,140,1
2,2015/08/17,20:00:00.000000,916.5,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1400,140,1
2,2015/08/17,20:00:00.000000,916.6,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1430,130,1
2,2015/08/17,20:00:00.000000,916.7,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1450,120,1
2,2015/08/17,20:00:00.000000,916.8,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1470,120,1
2,2015/08/17,20:00:00.000000,916.9,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1490,110,1
2,2015/08/17,20:00:00.000000,917,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1510,110,1
2,2015/08/17,20:00:00.000000,917.1,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1520,110,1
2,2015/08/17,20:00:00.000000,917.2,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1530,110,1
2,2015/08/17,20:00:00.000000,917.3,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1540,110,1
2,2015/08/17,20:00:00.000000,917.4,Liverpool v Bournemouth,Tomlin Lee,Bournemouth,1550,110,1
