Time,Half,XPos,YPos
34.8,First Half
34.9,First Half
35.0,First Half
35.1,First Half
35.2,First Half
35.3,First Half
35.4,First Half
35.5,First Half
35.6,First Half
35.7,First Half
35.8,First Half
35.9,First Half
36.0,First Half
36.1,First Half
36.2,First Half
36.3,First Half
36.4,First Half
36.5,First Half
36.6,First Half
36.7,First Half
36.8,First Half
36.9,First Half
37.0,First Half
37.1,First Half
37.2,First Half
37.3,First Half
37.4,First Half
37.5,First Half
37.6,First Half
37.7,First Half
37.8,First Half
37.9,First Half
38.0,First Half
38.1,First Half
38.2,First Half
38.3,First Half
38.4,First Half
38.5,First Half
38.6,First Half
38.7,First Half
38.8,First Half
38.9,First Half
39.0,First Half
39.1,First Half
39.2,First Half
39.3,First Half
39.4,First Half
39.5,First Half
39.6,First Half
39.7,First Half
39.8,First Half
39.9,First Half
40.0,First Half
40.1,First Half
40.2,First Half
40.3,First Half
40.4,First Half
40.5,First Half
40.6,First Half
40.7,First Half
40.8,First Half
40.9,First Half
41.0,First Half
41.1,First Half
41.2,First Half
41.3,First Half
41.4,First Half
41.5,First Half
41.6,First Half
41.7,First Half
41.8,First Half
41.9,First Half
42.0,First Half
42.1,First Half
42.2,First Half
42.3,First Half
42.4,First Half
42.5,First Half
42.6,First Half
42.7,First Half
42.8,First Half
42.9,First Half
43.0,First Half
43.1,First Half
43.2,First Half
43.3,First Half
43.4,First Half
43.5,First Half
43.6,First Half
43.7,First Half
43.8,First Half
43.9,First Half
44.0,First Half
44.1,First Half
44.2,First Half
44.3,First Half
44.4,First Half
44.5,First Half
44.6,First Half
44.7,First Half
44.8,First Half
44.9,First Half
45.0,First Half
45.1,First Half
45.2,First Half
45.3,First Half
45.4,First Half
45.5,First Half
45.6,First Half
45.7,First Half
45.8,First Half
45.9,First Half
46.0,First Half
46.1,First Half
46.2,First Half
46.3,First Half
46.4,First Half
46.5,First Half
46.6,First Half
46.7,First Half
46.8,First Half
46.9,First Half
47.0,First Half
47.1,First Half
47.2,First Half
47.3,First Half
47.4,First Half
47.5,First Half
47.6,First Half
47.7,First Half
47.8,First Half
47.9,First Half
48.0,First Half
48.1,First Half
48.2,First Half
48.3,First Half
48.4,First Half
48.5,First Half
48.6,First Half
48.7,First Half
48.8,First Half
48.9,First Half
49.0,First Half
49.1,First Half
49.2,First Half
49.3,First Half
49.4,First Half
49.5,First Half
49.6,First Half
49.7,First Half
49.8,First Half
49.9,First Half
50.0,First Half
50.1,First Half
50.2,First Half
50.3,First Half
50.4,First Half
50.5,First Half
50.6,First Half
50.7,First Half
50.8,First Half
50.9,First Half
51.0,First Half
51.1,First Half
51.2,First Half
51.3,First Half
51.4,First Half
51.5,First Half
51.6,First Half
51.7,First Half
51.8,First Half
51.9,First Half
52.0,First Half
52.1,First Half
52.2,First Half
52.3,First Half
52.4,First Half
52.5,First Half
52.6,First Half
52.7,First Half
52.8,First Half
52.9,First Half
53.0,First Half
53.1,First Half
53.2,First Half
53.3,First Half
53.4,First Half
53.5,First Half
53.6,First Half
53.7,First Half
53.8,First Half
53.9,First Half
54.0,First Half
54.1,First Half
54.2,First Half
54.3,First Half
54.4,First Half
54.5,First Half
54.6,First Half
54.7,First Half
54.8,First Half
54.9,First Half
55.0,First Half
55.1,First Half
55.2,First Half
55.3,First Half
55.4,First Half
55.5,First Half
55.6,First Half
55.7,First Half
55.8,First Half
55.9,First Half
56.0,First Half
56.1,First Half
56.2,First Half
56.3,First Half
56.4,First Half
56.5,First Half
56.6,First Half
56.7,First Half
56.8,First Half
56.9,First Half
57.0,First Half
57.1,First Half
57.2,First Half
57.3,First Half
57.4,First Half
57.5,First Half
57.6,First Half
57.7,First Half
57.8,First Half
57.9,First Half
58.0,First Half
58.1,First Half
58.2,First Half
58.3,First Half
58.4,First Half
58.5,First Half
58.6,First Half
58.7,First Half
58.8,First Half
58.9,First Half
59.0,First Half
59.1,First Half
59.2,First Half
59.3,First Half
59.4,First Half
59.5,First Half
59.6,First Half
59.7,First Half
59.8,First Half
59.9,First Half
60.0,First Half
60.1,First Half
60.2,First Half
60.3,First Half
60.4,First Half
60.5,First Half
60.6,First Half
60.7,First Half
60.8,First Half
60.9,First Half
61.0,First Half
61.1,First Half
61.2,First Half
61.3,First Half
61.4,First Half
61.5,First Half
61.6,First Half
61.7,First Half
61.8,First Half
61.9,First Half
62.0,First Half
62.1,First Half
62.2,First Half
62.3,First Half
62.4,First Half
62.5,First Half
62.6,First Half
62.7,First Half
62.8,First Half
62.9,First Half
63.0,First Half
63.1,First Half
63.2,First Half
63.3,First Half
63.4,First Half
63.5,First Half
63.6,First Half
63.7,First Half
63.8,First Half
63.9,First Half
64.0,First Half
64.1,First Half
64.2,First Half
64.3,First Half
64.4,First Half
64.5,First Half
64.6,First Half
64.7,First Half
64.8,First Half
64.9,First Half
65.0,First Half
65.1,First Half
65.2,First Half
65.3,First Half
65.4,First Half
65.5,First Half
65.6,First Half
65.7,First Half
65.8,First Half
65.9,First Half
66.0,First Half
66.1,First Half
66.2,First Half
66.3,First Half
66.4,First Half
66.5,First Half
66.6,First Half
66.7,First Half
66.8,First Half
66.9,First Half
67.0,First Half
67.1,First Half
67.2,First Half
67.3,First Half
67.4,First Half
67.5,First Half
67.6,First Half
67.7,First Half
67.8,First Half
67.9,First Half
68.0,First Half
68.1,First Half
68.2,First Half
68.3,First Half
68.4,First Half
68.5,First Half
68.6,First Half
